key,indicator,label,ALB,BIH_STATE,BIH_RS,BIH_FBIH,KOS,MNE,MKD,SRB
INVESTMENT_I01,INVESTMENT_QL01,"There is a separate and transparent regulatory framework for investment in place. 
*Not yet adopted but under development. ",YES*,YES,YES,YES,YES,YES,YES,YES
INVESTMENT_I01,INVESTMENT_QL01,"There are adequate provisions against expropriation, which have clear definitions and criteria. ",YES,YES,YES,YES,YES,YES,YES,YES
INVESTMENT_I01,INVESTMENT_QL01,"A legal framework for private-public partnerships exists. 
*Not yet adopted but under development ",YES,NO,YES,YES*,YES,YES,YES,YES
INVESTMENT_I01,INVESTMENT_QL01,Due compensation is calculated on an appropriate legal basis. ,YES,NO,YES,YES,YES,YES,YES,YES
INVESTMENT_I01,INVESTMENT_QL01,Investors can easily access information on laws and regulations governing investment.    ,YES,YES,YES,YES,YES,YES,YES,YES
INVESTMENT_I01,INVESTMENT_QL01,There are provisions for strategic investment in place.,YES,NO,YES,YES,YES,NO,YES,YES
INVESTMENT_I01,INVESTMENT_QL01,The laws governing investment are regularly subject to public consultations and feedback from the business community.,YES,YES,YES,YES,YES,YES,YES,YES
INVESTMENT_I01,INVESTMENT_QL01,expropriation orders are carefully reviewed by an independent authority.  ,YES,NO,YES,YES,NO,NO,NO,YES
INVESTMENT_I01,INVESTMENT_QL01,There is a competitive tendering process in place for public-private projects. ,YES,NOT_AVAILABLE,YES,NO,YES,YES,NO,YES
INVESTMENT_I01,INVESTMENT_QL01,Land acquisitions over a certain threshold are subject to ex ante and ex post social and environmental assessments.,YES,NOT_AVAILABLE,NO,NO,YES,YES,NO,YES
INVESTMENT_I01,INVESTMENT_QL01,Laws are adjusted based on stakeholder consultation.,YES,YES,YES,YES,NO,YES,YES,NO
INVESTMENT_I01,INVESTMENT_QL01,Potential expropriations are subject to due process and ensure public interest motivation and fair market compensation. ,YES,NO,YES,YES,YES,YES,YES,YES
INVESTMENT_I02,INVESTMENT_QL02,Investors have access to a commercial or investment arbitration.  ,YES,YES,NOT_AVAILABLE,NOT_AVAILABLE,YES,YES,YES,YES
INVESTMENT_I02,INVESTMENT_QL02,New York Convention and the International Centre for Settlement of Investment Disputes Convention have been ratified.,YES,YES,NOT_AVAILABLE,NOT_AVAILABLE,YES,YES,YES,YES
INVESTMENT_I02,INVESTMENT_QL02,Conditions of validity and enforcement of foreign judgments are recognized by national laws. ,YES,YES,YES,YES,YES,YES,YES,YES
INVESTMENT_I02,INVESTMENT_QL02,Foreign arbitral awards are generally recognised and enforced by local courts. ,YES,YES,YES,YES,YES,YES,YES,YES
INVESTMENT_I02,INVESTMENT_QL02,Investment-state disputes are resolved under investment treaties. ,YES,YES,NOT_AVAILABLE,NOT_AVAILABLE,YES,YES,YES,YES
INVESTMENT_I02,INVESTMENT_QL02,"There are mechanisms in place that aim to avoid disputes, such as ombudsman services or mediation.  ",YES,YES,YES,YES,YES,YES,YES,YES
INVESTMENT_I02,INVESTMENT_QL02,The experience with investment disputes under investment treaties is thoroughly evaluated.,NO,YES,NOT_AVAILABLE,NOT_AVAILABLE,NO,YES,YES,NO
INVESTMENT_I02,INVESTMENT_QL02,The implications of international investment treaties are widely communicated to respective government agencies.   ,NO,YES,NOT_AVAILABLE,NOT_AVAILABLE,NO,NO,NO,YES
INVESTMENT_I03,INVESTMENT_QL03,"Legislation on intellectual property is in place and is consistent with WIPO and WTO agreements. 
*Not yet adopted but under development",YES,YES*,NOT_AVAILABLE,NOT_AVAILABLE,YES,YES,YES,YES
INVESTMENT_I03,INVESTMENT_QL03,"Intellectual property rights legislation protects trademarks, patents, industrial designs, geographical indications and copyrights. ",YES,YES,NOT_AVAILABLE,NOT_AVAILABLE,YES,YES,YES,YES
INVESTMENT_I03,INVESTMENT_QL03,There is a website or other basic information channel raising awareness about intellectual property rights. ,YES,YES,NOT_AVAILABLE,NOT_AVAILABLE,YES,YES,YES,YES
INVESTMENT_I03,INVESTMENT_QL03,"Criminal procedures exist for cases of counterfeiting, piracy, patent infringement. ",YES,YES,NOT_AVAILABLE,NOT_AVAILABLE,YES,YES,YES,YES
INVESTMENT_I03,INVESTMENT_QL03,"There is an intellectual property enforcement body established. 
*Partly
",YES,YES,NOT_AVAILABLE,NOT_AVAILABLE,YES,YES,YES*,YES
INVESTMENT_I03,INVESTMENT_QL03,The intellectual property body has the regulatory power to govern and give judgements in intellectual property-related disputes.,YES,NO,NOT_AVAILABLE,NOT_AVAILABLE,NO,NO,YES,NO
INVESTMENT_I03,INVESTMENT_QL03,The government organises awareness-raising and information sessions on how to use the IP system within the economy. ,YES,YES,NOT_AVAILABLE,NOT_AVAILABLE,YES,YES,YES,YES
INVESTMENT_I03,INVESTMENT_QL03,The intellectual property laws are subject to regular monitoring and evaluation. ,NO,NO,NOT_AVAILABLE,NOT_AVAILABLE,NO,NO,NO,YES
INVESTMENT_I03,INVESTMENT_QL03,The government proactively raises awareness on intellectual property rights and infringement through seminars and public campaigns targeting civil society and the private sector. ,YES,NO,NOT_AVAILABLE,NOT_AVAILABLE,NO,NO,YES,YES
INVESTMENT_I03,INVESTMENT_QL03,The government provides active support in obtaining and filing for intellectual protection and implemented policies to reduce the cost of related processes. ,YES,YES,NOT_AVAILABLE,NOT_AVAILABLE,YES,YES,NO,YES
INVESTMENT_I03,INVESTMENT_QL03,"The information and data from all available information sources is communicated in a user-friendly, accessible database. ",YES,NO,NOT_AVAILABLE,NOT_AVAILABLE,NO,NO,NO,YES
INVESTMENT_I03,INVESTMENT_QL03,Relevant officials and enforcement bodies receive specialised training to properly enforce IP laws.,YES,NO,NOT_AVAILABLE,NOT_AVAILABLE,NO,NO,YES,YES
INVESTMENT_I04,INVESTMENT_QL04,There is a dedicated investment promotion agency in the economy.,YES,YES,NOT_AVAILABLE,NOT_AVAILABLE,YES,YES,YES,YES
INVESTMENT_I04,INVESTMENT_QL04,Investor targeting is undertaken in an ad-hoc manner. ,YES,NO,NO,NO,YES,YES,YES,NO
INVESTMENT_I04,INVESTMENT_QL04,There is a coherent and clear investment promotion strategy.,YES,NO,YES,YES,YES,YES,YES,YES
INVESTMENT_I04,INVESTMENT_QL04,"The investment promotion agency, or relevant body, uses user/client satisfaction surveys to measure its impact. ",YES,YES,NOT_AVAILABLE,NOT_AVAILABLE,NO,NO,YES,YES
INVESTMENT_I04,INVESTMENT_QL04,There are formal mechanisms in place to foster FDI linkages within the economy. ,YES,YES,YES,YES,NO,YES,YES,YES
INVESTMENT_I04,INVESTMENT_QL04,There is a formal coordination mechanism between relevant investment promotion bodies.   ,YES,YES,YES,YES,YES,YES,YES,YES
INVESTMENT_I04,INVESTMENT_QL04,Investor targeting activities are consistent and accompanied by adequate follow-up and analysis. ,YES,YES,YES,YES,NO,YES,NO,YES
INVESTMENT_I04,INVESTMENT_QL04,"The work of the investment promotion agency, or relevant body is monitored by an independent agency. ",NO,YES,NOT_AVAILABLE,NOT_AVAILABLE,YES,NO,NO,YES
INVESTMENT_I04,INVESTMENT_QL04,Annual performance results undergo public auditing procedures and are available to the broader public.,YES,NO,NOT_AVAILABLE,NOT_AVAILABLE,NO,NO,NO,YES
INVESTMENT_I04,INVESTMENT_QL04,There is a mechanism in place to maximise FDI spillovers. ,YES,NO,NO,NO,NO,NO,NO,NO
INVESTMENT_I04,INVESTMENT_QL04,Sustainability objectives are fully integrated into the operational strategy of the investment promotion agency or relevant body. ,NO,NO,NO,NO,NO,NO,NO,YES
INVESTMENT_I05,INVESTMENT_QL05,"The investment promotion agency, or relevant body, regularly provide investment facilitation services. ",YES,YES,NOT_AVAILABLE,NOT_AVAILABLE,YES,YES,YES,YES
INVESTMENT_I05,INVESTMENT_QL05,The investment promotion agency occasionally takes action to streamline registration procedures and reduce unnecessary paperwork. ,YES,NO,NO,NO,YES,YES,YES,YES
INVESTMENT_I05,INVESTMENT_QL05,Formal co-ordination mechanism is in place to adequately disseminate information and integrate investor feedback into future policies.,YES,YES,NOT_AVAILABLE,NOT_AVAILABLE,YES,YES,YES,YES
INVESTMENT_I05,INVESTMENT_QL05,“Silence is consent” clause exists. ,YES,NO,NO,NO,YES,NO,NO,NO
INVESTMENT_I05,INVESTMENT_QL05,"The investment promotion agency, or relevant body is consistently implementing measures to simplify the business registration process. ",NO,YES,NOT_AVAILABLE,NOT_AVAILABLE,YES,YES,YES,NO
INVESTMENT_I05,INVESTMENT_QL05,"The investment promotion agency, or relevant body, is systematically consulted on matters affecting investment policy in the economy. ",YES,YES,NOT_AVAILABLE,NOT_AVAILABLE,YES,YES,YES,YES
INVESTMENT_I05,INVESTMENT_QL05,"The investment promotion agency, or relevant body, is responsible for providing at least 80% of regulatory approvals and registration procedures to establish a business in the host economy.",YES,NO,NOT_AVAILABLE,NOT_AVAILABLE,YES,NO,NO,NO
INVESTMENT_I05,INVESTMENT_QL05,A business can be fully established electronically. ,YES,NO,NO,NO,YES,YES,YES,YES
INVESTMENT_I05,INVESTMENT_QL05,"The investment promotion agency, or relevant body, is engaged in policy advocacy and dialogue, which translates into future policy design.",YES,NO,NOT_AVAILABLE,NOT_AVAILABLE,NO,YES,YES,YES
INVESTMENT_I05,INVESTMENT_QL05,"The investment promotion agency, or relevant body, regularly provide aftercare services.",YES,YES,NOT_AVAILABLE,NOT_AVAILABLE,NO,YES,YES,YES
INVESTMENT_I05,INVESTMENT_QL05,There is high-level political commitment to public-private sector dialogues.,NO,NO,NO,NO,NO,NO,YES,YES
INVESTMENT_I06,INVESTMENT_QL06,"The investment promotion agency, or relevant body regulalrly provides investor incentives, with limited oversight. ",YES,YES,NOT_AVAILABLE,NOT_AVAILABLE,YES,YES,YES,YES
INVESTMENT_I06,INVESTMENT_QL06,"Investor incentives are provided following a cost-benefit analysis, although the results are not available to the public. ",YES,NO,NO,NO,NO,YES,NO,YES
INVESTMENT_I06,INVESTMENT_QL06,There are sunset clauses in place. ,NO,NO,NO,NO,NO,YES,YES,YES
INVESTMENT_I06,INVESTMENT_QL06,"Procedures and criteria for granting investor incentives are clear and transparent, although with a degree of limitation.",YES,NO,YES,NO,YES,YES,YES,YES
INVESTMENT_I06,INVESTMENT_QL06,"The investment promotion agency, or relevant body, conducts ad hoc monitoring of investors’ obligations. ",YES,YES,YES,YES,NO,YES,YES,YES
INVESTMENT_I06,INVESTMENT_QL06,"Investor incentives are regularly subject to a cost-benefit analysis, the results of which are available to the public. ",NO,NO,NO,NO,NO,NO,YES,NO
INVESTMENT_I06,INVESTMENT_QL06,Renewal of investor incentives is granted with appropriate scrutiny.  ,NO,NO,NO,NO,NO,YES,YES,YES
INVESTMENT_I06,INVESTMENT_QL06,Cost-Benefit analysis takes into account social and environmental impact of incentives-motivated investment. ,YES,NO,NO,NO,NO,YES,NO,YES
INVESTMENT_I06,INVESTMENT_QL06,Investor incentives are regulated by the tax code of the economy. ,YES,NO,YES,YES,YES,NO,YES,YES
INVESTMENT_I06,INVESTMENT_QL06,Incentives are assessed against potential for aggressive tax planning by investors.,NO,NO,NO,NO,NO,NO,NO,YES
INVESTMENT_I07,INVESTMENT_QL07,"There is a strategic policy framework governing sustainable investment. 
*Law has been adopted but is still pending approval",YES,NO,YES,YES,YES*,YES,NO,YES
INVESTMENT_I07,INVESTMENT_QL07,"Other sustainability strategies take investment into account on an ad hoc basis. 
",YES,YES,YES,YES,YES,YES,YES,YES
INVESTMENT_I07,INVESTMENT_QL07,"The national strategic policy framework for sustainable investment addresses investment-related objectives linked to the Sustainable Development Goals  
",YES,NO,YES,NO,YES,YES,NO,YES
INVESTMENT_I07,INVESTMENT_QL07,Implementation responsibilities are clearly defined between national and sub-national institutions. ,NO,NO,NO,NO,NO,YES,NO,NO
INVESTMENT_I07,INVESTMENT_QL07,"Formal coordination mechanisms with non-government stakeholders, including the private sector and civil society are in place.",YES,YES,YES,YES,YES,YES,NO,YES
INVESTMENT_I07,INVESTMENT_QL07,National sustainability strategies are aligned with international standards and commitments.  ,YES,NO,YES,YES,YES,YES,NO,YES
INVESTMENT_I07,INVESTMENT_QL07,"Clear environmental, social, and corporate governance criteria have been established. ",NO,NO,NO,NO,YES,NO,NO,YES
INVESTMENT_I07,INVESTMENT_QL07,The national strategic framework has been subject to a data and evidence driven evaluation and has been adjusted accordingly.   ,NO,NO,NO,YES,NO,NO,NO,YES
INVESTMENT_I07,INVESTMENT_QL07,There is an inter-institutional co-ordination mechanism in place at the sub-national level. ,NO,YES,YES,YES,YES,NO,NO,YES
INVESTMENT_I07,INVESTMENT_QL07,Sustainability objectives are integrated into trade and investment agreements. ,NO,NO,NO,NO,NO,YES,NO,NO
INVESTMENT_I08,INVESTMENT_QL08,There are financial and technical supports in place for sustainable investment. ,YES,NO,YES,NO,YES,YES,YES,YES
INVESTMENT_I08,INVESTMENT_QL08,Financial and technical supports for sustainable investment are funded through non-donor funded national resources. ,YES,NO,YES,NO,YES,YES,YES,NO
INVESTMENT_I08,INVESTMENT_QL08,Financial and technical supports for sustainable investment contain sunset clauses or other time limitation mechanisms. ,YES,NO,NO,NO,NO,YES,YES,YES
INVESTMENT_I08,INVESTMENT_QL08,"The government conducts regular cost and benefits analysis of the supports considering environmental and social aspects, although the results are not available to the public. ",YES,NO,YES,NO,YES,NO,YES,YES
INVESTMENT_I08,INVESTMENT_QL08,Financial and technical supports for sustainable investment address market failures linked to sustainable investment aspects of the Sustainable Development Goals. ,NO,NO,YES,NO,YES,YES,YES,YES
INVESTMENT_I08,INVESTMENT_QL08,There is consistent and regular monitoring of the recipients’ compliance with eligibility criteria and related obligations. ,NO,NO,NO,NO,YES,YES,YES,YES
